timestamp,input_type,input_value,transcription,translation,tts_voice,output_audio_hash,misbehavior_detected,misbehavior_reason
2025-07-14T21:41:28.304813+00:00,Audio file,F,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:31.189647+00:00,Audio file,o,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:36.894787+00:00,Audio file,l,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:38.464496+00:00,Audio file,l,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:41.541811+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:44.822451+00:00,Audio file,w,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:44.854239+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:47.517169+00:00,Audio file,y,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:50.272053+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:51.990264+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:53.558433+00:00,Audio file,r,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:53.647446+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:41:55.276692+00:00,Audio file,t,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:56.852368+00:00,Audio file,r,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:41:59.231128+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:00.907865+00:00,Audio file,i,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:06.388929+00:00,Audio file,n,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:07.980043+00:00,Audio file,i,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:42:11.183220+00:00,Audio file,n,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:42:13.768124+00:00,Audio file,g,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:42:13.791823+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:16.168630+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:19.035737+00:00,Audio file,n,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:20.643867+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:20.668207+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:23.633966+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:25.341393+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:27.029950+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:29.148695+00:00,Audio file,p,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:30.777660+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:32.346491+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:32.751901+00:00,Audio file,",",",","Mock translation: ,",es-BO-SofiaNeural,6829852914810913953,False,
2025-07-14T21:42:32.773731+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:33.210800+00:00,Audio file,',',Mock translation: ',es-BO-SofiaNeural,6451691696661315074,False,
2025-07-14T21:42:34.868180+00:00,Audio file,I,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:34.889308+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:39.968862+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:43.058933+00:00,Audio file,m,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:42:43.081827+00:00,Audio file, ,,,es-BO-SofiaNeural,0,True,
2025-07-14T21:42:44.784612+00:00,Audio file,t,,,es-BO-SofiaNeural,0,True,
